Catagory ,Tool ,Location ,Training Required?,Service/Cost ,Academic level ,Who can use this space?,Notes,Software,Website
CNC,HAAS Super VF-2,"Wilson Student Team Project Center, 2603 Draper Dr, Ann Arbor, MI 48109","Yes, Pre-req: Wilson center basics 1 and 2 pass 

Wilson Center manual mill training required, operator staus required
Wilson Center CNC mill training required, operator status required ",,,Anyone but COE is prioritized ,"Mentor is required until operator status

Working area: 30""x 16""x 20""
Table size: 36""x14""

Max spindle speed: 12000rpm
Max cutting feed rate: 833in/min

Number of tool pockets: 30
Number of axis: 3+1

Coolant capable
Probe capability 

For use with: Steel (stainless/mild/hardened etc..), Aluminum, Brass, 
Bronze, Titanium, other metals

Tolerance: ±0.002 (depending on skill level)

Students provide cutting bits
Tooling is not provided",,https://teamprojects.engin.umich.edu/home/training/#robotics
CNC,HAAS SL-20,"Wilson Student Team Project Center, 2603 Draper Dr, Ann Arbor, MI 48109","Yes, Pre-req: Wilson center basics 1 and 2 pass 

Wilson Center manual lathe training required, operator staus required
Wilson Center CNC lathe training required, operator status required ",None,Any,Anyone but COE is prioritized ,"Mentor is required until operator status

Working area: 

Max spindle speed: 

Number of axis: 2

For use with: Steel (stainless/mild/hardened etc..), Aluminum, Brass, 
Bronze, Titanium, other metals

Bar feeder capable ()

Tolerance: ±0.002 (depending on skill level)",,
CNC,HAAS TL-1,"Wilson Student Team Project Center, 2603 Draper Dr, Ann Arbor, MI 48109","Yes, Pre-req: Wilson center basics 1 and 2 pass 

Wilson Center manual lathe training required, operator staus required
Wilson Center CNC lathe training required",None,Any,Anyone but COE is prioritized ,"Mentor is required until operator status

Working area: 8in diameter x 30in long

Max spindle speed: 1800 RPM

Number of axis: 2

For use with: Steel (stainless/mild/hardened etc..), Aluminum, Brass, 
Bronze, Titanium, other metals

Tolerance: ±0.005 (depending on skill level)",,
Saws,Dake Drop saw,"Wilson Student Team Project Center, 2603 Draper Dr, Ann Arbor, MI 48109","Yes, Pre-req: Wilson center basic 1 and 2 pass",None,Any,Anyone but COE is prioritized ,"Material capacity: 10” rounds, 18” flats
Max Blade Speed: 270 fpm
Blade Width: 1”
Bed Work Area: 11” x 18”",,
Electronics,Battery lab tools,"Wilson Student Team Project Center, 2603 Draper Dr, Ann Arbor, MI 48109",,,,Anyone but COE is prioritized ,,,
Saws,Sawstop Table saw,"Wilson Student Team Project Center, 2603 Draper Dr, Ann Arbor, MI 48109","Yes, Pre-req: Wilson center basic 1 and 2 pass
Wilson center Table saw training",None,Any,Anyone but COE is prioritized ,"Blade Dia.10 in
Max. Cut Width Left of Blade: 12""
Max. Cut Width Right of Blade: 52""
Table Width: 85.25""
Table Length: 27""
Table Width with Extension: 85.25""
Bevel Angle Range: 0° to 45°
Left Max. Cutting Depth @ 0 Deg.: 3.125""
Max. Cutting Depth @ 45 Deg.: 2.25""
Blade kerf: .125""

For use with: Wood, plastic, foam
This saw cannot cut metal or anything conductive",None,
Other,"Roland vinyl cutter
CAMM-1 GS-24","Wilson Student Team Project Center, 2603 Draper Dr, Ann Arbor, MI 48109","Yes, Pre-req: Wilson center basics 1 and 2 pass",None,Any ,Anyone but COE is prioritized ,"Max media width: 2 to 27-1/2 in. (50 to 700 mm)
Max cutting area: Width: 22.9 in (584 mm), Length: 984.25 in (25000 mm)
Max cutting thickness: .04"" (1 mm)
Accuracy: ±0.2 %
Max cutting speed: 19.69 in/s (500 mm/s) ",None,https://teamprojects.engin.umich.edu/home/training/#robotics
Specialty tools,Jet HS1452-1T Hydraulic Shear ,"Wilson Student Team Project Center, 2603 Draper Dr, Ann Arbor, MI 48109","Yes, Pre-req: Wilson center basics 1 and 2 pass",None,Any ,Anyone but COE is prioritized ,"Max. Soft. Alloy Capacity (Gauge):10 - 12
Mild Steel Capacity (Gauge): 14
Shearing Length Capacity: 52""
Back Gauge Capacity: 25-1/2""
Front Gauge Capacity: 23-1/2""
Strokes Per Minute (Full Length): 20",None,
Specialty tools,Tensmith HBU48-12 hand break,"Wilson Student Team Project Center, 2603 Draper Dr, Ann Arbor, MI 48109","Yes, Pre-req: Wilson center basics 1 and 2 pass",None,Any ,Anyone but COE is prioritized ,"Mild Steel Capacity: 12 gauge (2.7mm)
Stainless Capacity: 16 gauge (1.6mm)
Bending Length: 48”
Max Lift Of Beam: 1-1/2”
Front To Rear Adj : 1”
Max Depth Of Box: 4”
Min Reverse Bend: 1/4”
Minimum Flange Capacity: 1”
Finger Widths: 2, 3, 4 “",None,
Saws,Work - A - Matic 12' Bandsaw,"Wilson Student Team Project Center, 2603 Draper Dr, Ann Arbor, MI 48110","Yes, Pre-req: Wilson center basics 1 and 2 pass",None,Any ,Anyone but COE is prioritized ,"Band Saw Type: Vertical
Band Saw Operation: Manual
Rectangular Cutting Capacity - Horizontal
Throat Depth - Vertical: 5.5""
Throat Depth - Horizontal: 19.5""
Table Dimensions: 24.5”x24.5”

For use with metal and plastics",,
